scenario,group,seed,pop,trait,n_gwas,rg,frac_shared_causal,n_pop,n_trait,rho_pheno,h2,method,phi_mode,phi,corr,time_s
h2_0.1,h2_sweep,14,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.5428202405049037,74.3
h2_0.1,h2_sweep,14,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.4447636031178168,50.3
h2_0.1,h2_sweep,14,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8642480399779323,74.3
h2_0.1,h2_sweep,14,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.8111910892620214,50.3
h2_0.1,h2_sweep,14,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.5398983088437846,74.3
h2_0.1,h2_sweep,14,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.4313854391747759,50.3
h2_0.1,h2_sweep,14,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8616594872586059,71.5
h2_0.1,h2_sweep,14,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.7715980189074909,50.0
h2_0.1,h2_sweep,14,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.5639433439971809,71.5
h2_0.1,h2_sweep,14,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.36915904332407246,50.0
h2_0.1,h2_sweep,14,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8641619742413258,71.5
h2_0.1,h2_sweep,14,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.798075085273725,50.0
h2_0.1,h2_sweep,14,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.5897323680823675,71.5
h2_0.1,h2_sweep,14,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.3275237632390341,50.0
h2_0.1,h2_sweep,15,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8674111628038185,73.1
h2_0.1,h2_sweep,15,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.7829431699243468,49.4
h2_0.1,h2_sweep,15,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.600625467368278,73.1
h2_0.1,h2_sweep,15,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.4957890858071508,49.4
h2_0.1,h2_sweep,15,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8717945886360039,73.1
h2_0.1,h2_sweep,15,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.8009140026475701,49.4
h2_0.1,h2_sweep,15,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.5907670355506218,73.1
h2_0.1,h2_sweep,15,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.549225149697131,49.4
h2_0.1,h2_sweep,15,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8715618791407703,70.6
h2_0.1,h2_sweep,15,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.7540510906388315,49.0
h2_0.1,h2_sweep,15,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.6304079319038888,70.6
h2_0.1,h2_sweep,15,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.5262760527716583,49.0
h2_0.1,h2_sweep,15,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8718818925555484,70.6
h2_0.1,h2_sweep,15,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.7593986952195692,49.0
