scenario,group,rg,frac_shared_causal,pop,trait,phi_mode,seed,corr_prscsx,corr_prscsx_mt,delta
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,29,0.8239611748494564,0.69052339454795,-0.13343778030150644
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,3,0.8686431403096239,0.7609752752924526,-0.1076678650171713
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,30,0.8752267251244301,0.7893633862490415,-0.08586333887538866
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,4,0.8710616527104875,0.7625366501880946,-0.10852500252239294
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,5,0.8680580994886612,0.7742997628027074,-0.09375833668595379
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,6,0.8741347568874511,0.7960791903500398,-0.0780555665374113
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,7,0.8757715366407035,0.774435086198442,-0.10133645044226147
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,8,0.861487950725361,0.7882424536748307,-0.0732454970505303
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,9,0.8629269440841743,0.7239276910444995,-0.13899925303967475
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,1,0.6086201096274256,0.435860154371983,-0.17275995525544263
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,10,0.6457214507717856,0.45728362751022394,-0.1884378232615616
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,11,0.617515558322373,0.389228319083683,-0.22828723923869004
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,12,0.6230552028559272,0.5246982645184805,-0.09835693833744674
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,13,0.6239208836162585,0.4969981703123617,-0.12692271330389682
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,14,0.5897323680823675,0.3275237632390341,-0.2622086048433334
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,15,0.6042371846566874,0.5450313116524331,-0.059205873004254284
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,16,0.6202151645599786,0.45510882386727136,-0.16510634069270724
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,17,0.6365658587047425,0.4358215234510488,-0.20074433525369367
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,18,0.6412981129955712,0.5010420877908321,-0.140256025204739
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,19,0.6319695309670238,0.43475699829919473,-0.19721253266782907
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,2,0.625230693379495,0.4171398084458823,-0.20809088493361272
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,20,0.6844615934971332,0.5054330141377449,-0.17902857935938832
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,21,0.637817521327797,0.45077693075590025,-0.18704059057189676
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,22,0.6197739744904416,0.4595103411126489,-0.1602636333777927
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,23,0.6464378381081533,0.5307653628526134,-0.11567247525553981
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,24,0.6029148471721864,0.4581539261700288,-0.14476092100215754
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,25,0.6194142070737894,0.4126769402722007,-0.20673726680158866
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,26,0.5813241326900429,0.41103243204028544,-0.17029170064975746
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,27,0.6679869069858418,0.5323578764861083,-0.13562903049973352
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,28,0.6089719740048227,0.5269950864811055,-0.08197688752371723
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,29,0.6071593372271077,0.43047740262964274,-0.17668193459746495
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,3,0.6317869196381664,0.51821214797967,-0.11357477165849639
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,30,0.628397806060881,0.5078713414769854,-0.1205264645838956
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,4,0.634569745945101,0.41625958385770606,-0.2183101620873949
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,5,0.6190292725640092,0.515816353092505,-0.10321291947150424
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,6,0.6135887873388911,0.4161421768634625,-0.1974466104754286
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,7,0.6375469462355858,0.48504619312441505,-0.15250075311117078
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,8,0.6251629069393712,0.42984821179994076,-0.1953146951394304
h2_0.1,h2_sweep,0.6,1.0,EAS,1,fixed,9,0.5923765100443821,0.4697398575117839,-0.1226366525325982
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,1,0.874030935508801,0.8100223631521677,-0.06400857235663326
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,10,0.8755940053391708,0.7982707957556612,-0.07732320958350958
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,11,0.8539314283334829,0.7679053231310283,-0.08602610520245457
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,12,0.8652525582565643,0.8076908414049462,-0.05756171685161815
h2_0.1,h2_sweep,0.6,1.0,EUR,0,fixed,13,0.8657247115312129,0.7664308175612489,-0.09929389396996402
